CODES,DESCRIPTION,UNIT_1_TAX,UNIT_2_TAX,UNIT_3_TAX,UNIT,WEIGHT,STD,IM_STD,EX_STD
87033290007,"Other passenger cars, of a cylinder capacity exceeding 1,500 cc but not exceeding 2,500 cc",17.5 PERCENT,"0 PERCENT (NZ,SG) 17.5 PERCENT (PA,GT,NI,SV,HN)",60 PERCENT,NIU,KGM,T* L* ,MW0,
87033311002,"Sedan (including convertible, sports) and station wagons, of a cylinder capacity exceeding 2,500 cc, but not exceeding 3,000 cc",17.5 PERCENT,"0 PERCENT (NZ,SG) 17.5 PERCENT (PA,GT,NI,SV,HN)",60 PERCENT,NIU,KGM,T* L* ,MW0,
87033312001,"Sedan (including convertible, sports) and station wagons, of a cylinder capacity exceeding 3,000 cc",17.5 PERCENT,"0 PERCENT (NZ,SG) 17.5 PERCENT (PA,GT,NI,SV,HN)",60 PERCENT,NIU,KGM,T* L* ,MW0,
87033391005,"Other passenger cars, of a cylinder capacity exceeding 2,500 cc, but not exceeding 3,000 cc",17.5 PERCENT,"0 PERCENT (NZ,SG) 17.5 PERCENT (PA,GT,NI,SV,HN)",60 PERCENT,NIU,KGM,T* L* ,MW0,
87033392004,"Other passenger cars, of a cylinder capacity exceeding 3,000 cc",17.5 PERCENT,"0 PERCENT (NZ,SG) 17.5 PERCENT (PA,GT,NI,SV,HN)",60 PERCENT,NIU,KGM,T* L* ,MW0,
87034000113,"Sedan (including convertible, sports) and station wagons, of a cylinder capacity not exceeding 1,000 c.c.",17.5 PERCENT,"0 PERCENT (NZ,SG) 17.5 PERCENT (PA,GT,NI,SV,HN)",60 PERCENT,NIU,KGM,T* L* ,MW0 ,
87034000122,All terrain vehicle,17.5 PERCENT,"0 PERCENT (NZ,SG) 17.5 PERCENT (PA,GT,NI,SV,HN)",60 PERCENT,NIU,KGM,T* ,,
87034000195,"Other passenger cars, of a cylinder capacity not exceeding 1,000 c.c.",17.5 PERCENT,"0 PERCENT (NZ,SG) 17.5 PERCENT (PA,GT,NI,SV,HN)",60 PERCENT,NIU,KGM,T* L* ,MW0 ,
87034000211,"Sedan (including convertible, sports) and station wagons, of a cylinder capacity exceeding 1,000 c.c. but not exceeding 1,500 c.c.",17.5 PERCENT,"0 PERCENT (NZ,SG) 17.5 PERCENT (PA,GT,NI,SV,HN)",60 PERCENT,NIU,KGM,T* L* ,MW0 ,
87034000293,"Other passenger cars, of a cylinder capacity exceeding 1,000 c.c. but not exceeding 1,500 c.c.",17.5 PERCENT,"0 PERCENT (NZ,SG) 17.5 PERCENT (PA,GT,NI,SV,HN)",60 PERCENT,NIU,KGM,T* L* ,MW0 ,
87034000319,"Sedan (including convertible, sports) and station wagons, of a cylinder capacity exceeding 1,500 c.c. but not exceeding 3,000 c.c.",17.5 PERCENT,"0 PERCENT (NZ,SG) 17.5 PERCENT (PA,GT,NI,SV,HN)",60 PERCENT,NIU,KGM,T* L* ,MW0 ,
87034000391,"Other passenger cars, of a cylinder capacity exceeding 1,500 c.c. but not exceeding 3,000 c.c.",17.5 PERCENT,"0 PERCENT (NZ,SG) 17.5 PERCENT (PA,GT,NI,SV,HN)",60 PERCENT,NIU,KGM,T* L* ,MW0 ,
87034000417,"Sedan (including convertible, sports) and station wagons, of a cylinder capacity exceeding 3,000 c.c.",17.5 PERCENT,"0 PERCENT (NZ,SG) 17.5 PERCENT (PA,GT,NI,SV,HN)",60 PERCENT,NIU,KGM,T* L* ,MW0 ,
87034000499,"Other passenger cars, of a cylinder capacity exceeding 3,000 c.c.",17.5 PERCENT,"0 PERCENT (NZ,SG) 17.5 PERCENT (PA,GT,NI,SV,HN)",60 PERCENT,NIU,KGM,T* L* ,MW0 ,
87035000110,"Sedan (including convertible, sports) and station wagons, of a cylinder capacity not exceeding 1,500 c.c.",17.5 PERCENT,"0 PERCENT (NZ,SG) 17.5 PERCENT (PA,GT,NI,SV,HN)",60 PERCENT,NIU,KGM,T* L* ,MW0 ,
87035000192,"Other passenger cars, of a cylinder capacity not exceeding 1,500 c.c.",17.5 PERCENT,"0 PERCENT (NZ,SG) 17.5 PERCENT (PA,GT,NI,SV,HN)",60 PERCENT,NIU,KGM,T* L* ,MW0 ,
87035000218,"Sedan (including convertible, sports) and station wagons, of a cylinder capacity exceeding 1,500 c.c. but not exceeding 2,500 c.c.",17.5 PERCENT,"0 PERCENT (NZ,SG) 17.5 PERCENT (PA,GT,NI,SV,HN)",60 PERCENT,NIU,KGM,T* L* ,MW0 ,
87035000290,"Other passenger cars, of a cylinder capacity exceeding 1,500 c.c. but not exceeding 2,500 c.c.",17.5 PERCENT,"0 PERCENT (NZ,SG) 17.5 PERCENT (PA,GT,NI,SV,HN)",60 PERCENT,NIU,KGM,T* L* ,MW0 ,
87035000316,"Sedan (including convertible, sports) and station wagons, of a cylinder capacity exceeding 2,500 c.c. but not exceeding 3,000cc",17.5 PERCENT,"0 PERCENT (NZ,SG) 17.5 PERCENT (PA,GT,NI,SV,HN)",60 PERCENT,NIU,KGM,T* L* ,MW0 ,
